repo_name,total_commits_stored,total_rows_stored,index_total_terms,index_documents,index_non_empty_documents,index_unique_terms,MAP,P@10,P@100,P@1000,MRR,Recall@1000
nektos_act,739,6960,520211,6960,6960,3883,0.1816,0.365,0.2554,0.0463,0.5158,0.8583
sveltejs_svelte,5047,46366,1145465,46366,46366,6389,0.042,0.089,0.0249,0.0047,0.2797,0.5306
neovim_neovim,24680,101467,6707112,101467,101467,17290,0.0656,0.133,0.0798,0.0196,0.2542,0.7841
corentinj_real-time-voice-cloning,155,980,14149,980,980,874,0.0712,0.109,0.0627,0.012,0.2826,0.8461
gatsbyjs_gatsby,8416,37972,27984192,37972,37972,13798,0.0204,0.013,0.0024,0.0016,0.0575,0.419
x64dbg_x64dbg,4808,22873,652909,22873,22873,6434,0.0296,0.059,0.0304,0.0103,0.1823,0.8083
marktext_marktext,1126,5112,295664,5112,5112,2822,0.0788,0.089,0.0575,0.0129,0.26,0.8445
rustdesk_rustdesk,6630,32635,702478,32635,32635,5531,0.0885,0.267,0.0971,0.0279,0.5226,0.8495
z4nzu_hackingtool,209,352,12667,352,352,848,0.1502,0.222,0.0563,0.0079,0.5265,0.8803
vuejs_vue,2875,11186,199910,11186,11186,4086,0.0758,0.121,0.0783,0.0234,0.2991,0.7433
laravel_laravel,5304,13431,201423,13431,13431,6220,0.0267,0.112,0.0378,0.0088,0.3692,0.865
ultralytics_yolov5,1939,3362,478733,3362,3362,5859,0.1539,0.187,0.1172,0.0337,0.4251,0.9566
prometheus_prometheus,9225,98478,5769991,98478,98478,13538,0.0505,0.139,0.0662,0.0119,0.4058,0.7776
pandas-dev_pandas,29140,114046,5741858,114046,114046,13543,0.0646,0.125,0.0499,0.0178,0.2506,0.7923
reduxjs_redux,1232,5139,179019,5139,5139,3738,0.0341,0.107,0.0423,0.009,0.2634,0.7457
iperov_deepfacelab,961,2564,162328,2564,2564,2888,0.0726,0.126,0.0683,0.0238,0.3017,0.9049
yarnpkg_yarn,1842,7472,730233,7472,7472,6980,0.0444,0.085,0.0396,0.0122,0.2447,0.783
jitsi_jitsi-meet,8559,38738,1836525,38738,38738,10917,0.051,0.094,0.0381,0.0091,0.2669,0.7016
